
0it [00:00, ?it/s]
318725it [00:19, 19588.22it/s]
321051it [00:19, 20556.25it/s]
323319it [00:20, 21143.47it/s]
325473it [00:20, 20657.65it/s]
327569it [00:20, 19150.47it/s]
329527it [00:20, 19013.44it/s]
331459it [00:20, 17776.31it/s]
333275it [00:20, 17762.56it/s]
335078it [00:20, 16145.07it/s]
337251it [00:20, 17493.53it/s]
339066it [00:20, 16721.87it/s]
340815it [00:21, 16931.70it/s]
342981it [00:21, 18117.60it/s]
345391it [00:21, 19574.81it/s]
347639it [00:21, 20362.76it/s]
349821it [00:21, 20776.82it/s]
352089it [00:21, 21307.92it/s]
354559it [00:21, 22215.50it/s]
356825it [00:21, 22339.86it/s]
359165it [00:21, 22640.32it/s]
361637it [00:21, 23223.71it/s]
364007it [00:22, 23364.32it/s]
366391it [00:22, 23495.91it/s]
369097it [00:22, 24453.02it/s]
371558it [00:22, 21974.88it/s]
374525it [00:22, 23822.89it/s]
377015it [00:22, 24129.09it/s]
379490it [00:22, 23785.62it/s]
382033it [00:22, 24250.63it/s]
384492it [00:22, 23150.29it/s]
387055it [00:23, 23835.37it/s]
389627it [00:23, 24363.50it/s]
392247it [00:23, 24882.20it/s]
394754it [00:23, 22781.93it/s]
397255it [00:23, 23400.26it/s]
399932it [00:23, 24318.58it/s]
402557it [00:23, 24863.17it/s]
405072it [00:23, 23670.39it/s]
407471it [00:23, 23324.66it/s]
409827it [00:23, 23234.45it/s]
412367it [00:24, 23837.64it/s]
414767it [00:24, 23405.92it/s]
417201it [00:24, 23666.68it/s]
419733it [00:24, 24136.46it/s]
422156it [00:24, 23651.34it/s]
424615it [00:24, 23920.16it/s]
427014it [00:24, 23541.68it/s]
429579it [00:24, 24135.37it/s]
432001it [00:24, 24116.48it/s]
434423it [00:25, 24131.72it/s]
436841it [00:25, 23805.42it/s]
439567it [00:25, 24732.08it/s]
442275it [00:25, 25384.35it/s]
444827it [00:25, 25055.92it/s]
447343it [00:25, 24648.33it/s]
449817it [00:25, 23876.27it/s]
452389it [00:25, 24394.94it/s]
454840it [00:25, 21445.39it/s]
457057it [00:26, 18429.46it/s]
459026it [00:26, 16082.01it/s]
460776it [00:26, 15441.55it/s]
462425it [00:26, 14847.62it/s]
463988it [00:26, 14906.11it/s]
465583it [00:26, 15198.75it/s]
467143it [00:26, 15132.11it/s]
468685it [00:26, 14922.88it/s]
470198it [00:26, 14719.85it/s]
471765it [00:27, 14992.34it/s]
473276it [00:27, 14434.33it/s]
474791it [00:27, 14630.57it/s]
476369it [00:27, 14953.81it/s]
478427it [00:27, 16284.62it/s]
480097it [00:27, 15956.69it/s]
481723it [00:27, 15889.95it/s]
483334it [00:27, 15681.34it/s]
484918it [00:27, 15465.53it/s]
486529it [00:28, 15647.56it/s]
488363it [00:28, 16367.14it/s]
490015it [00:28, 15790.58it/s]
491781it [00:28, 16300.71it/s]
493426it [00:28, 15544.30it/s]
494998it [00:28, 14752.45it/s]
496569it [00:28, 15026.75it/s]
498219it [00:28, 15430.28it/s]
499997it [00:28, 16058.81it/s]
501803it [00:28, 16608.20it/s]
503480it [00:29, 16259.99it/s]
505119it [00:29, 14493.56it/s]
506747it [00:29, 14967.16it/s]
508279it [00:29, 12953.53it/s]
509927it [00:29, 13838.85it/s]
511701it [00:29, 14808.21it/s]
513279it [00:29, 15084.53it/s]
